,flag_SF,same_srv_rate,dst_host_srv_count,logged_in,flag_S0,serror_rate,count,service_http,service_private,dst_host_count,class
65,1,1.0,133,1,0,0.0,1,0,0,109,1
66,0,1.0,1,0,0,0.0,1,0,0,236,0
67,0,0.37,67,0,1,1.0,52,1,0,255,0
68,0,0.06,6,0,0,0.0,125,0,0,255,0
69,0,0.12,21,0,1,1.0,168,0,0,255,0
70,1,1.0,58,1,0,0.0,1,1,0,21,1
71,0,0.11,31,0,1,1.0,145,0,1,255,0
72,1,0.67,93,0,0,0.0,3,0,0,255,1
73,1,1.0,83,0,0,0.0,9,0,0,84,1
74,0,0.04,6,0,1,1.0,138,0,1,255,0
75,1,1.0,47,1,0,0.0,1,0,0,44,1
76,0,0.03,9,0,1,1.0,276,0,0,255,0
77,1,1.0,255,1,0,0.0,10,1,0,48,1
78,1,1.0,255,1,0,0.0,10,1,0,168,1
79,0,0.03,8,0,0,0.0,248,0,1,255,0
80,1,1.0,255,1,0,0.0,2,1,0,24,1
81,0,0.05,7,0,0,0.0,135,0,0,255,0
82,0,0.09,2,0,1,1.0,220,0,0,255,0
83,1,1.0,95,0,0,0.0,1,0,0,1,0
84,1,1.0,255,1,0,0.0,9,1,0,123,1
85,0,0.03,7,0,1,1.0,212,0,1,72,0
86,1,1.0,255,1,0,0.0,10,1,0,255,1
87,0,0.05,1,0,1,1.0,250,0,0,255,0
88,0,0.11,15,0,0,0.0,132,0,1,255,0
89,1,0.67,2,0,0,0.0,3,0,0,117,1
90,1,1.0,255,1,0,0.0,11,1,0,156,1
91,1,1.0,255,1,0,0.0,3,1,0,255,1
92,1,0.99,254,0,0,0.0,109,0,0,255,1
93,0,0.12,10,0,0,0.0,146,0,1,255,0
94,0,0.02,3,0,1,1.0,300,0,0,255,0
95,1,1.0,119,1,0,0.0,1,0,0,243,1
96,1,1.0,1,0,0,0.0,1,0,0,7,1
97,1,1.0,255,1,0,0.0,4,1,0,4,1
98,1,1.0,2,0,0,0.0,2,0,0,255,1
99,0,0.12,12,0,1,1.0,129,0,1,255,0
100,1,1.0,255,0,0,0.03,32,1,0,255,1
101,1,1.0,255,1,0,0.0,1,1,0,66,1
102,0,1.0,247,0,0,0.0,1,1,0,1,1
103,1,1.0,255,1,0,0.0,3,1,0,153,1
104,1,1.0,182,0,0,0.0,82,0,1,255,0
105,1,1.0,255,1,0,0.0,1,1,0,43,1
106,1,1.0,255,1,0,0.0,15,1,0,242,1
107,1,1.0,255,1,0,0.0,2,1,0,10,1
108,1,1.0,255,1,0,0.0,21,1,0,21,1
109,0,1.0,249,0,0,0.0,1,1,0,23,1
110,1,1.0,252,1,0,0.0,3,1,0,255,1
111,1,0.5,152,1,0,0.0,2,0,0,255,1
112,0,1.0,255,0,0,0.0,1,1,0,6,1
113,1,1.0,255,1,0,0.0,1,1,0,3,1
114,1,1.0,255,1,0,0.0,4,1,0,107,1
115,0,1.0,2,0,0,0.0,2,0,1,255,0
116,0,0.15,17,0,0,0.0,110,0,0,255,0
117,1,0.25,239,0,0,0.0,4,0,1,255,1
118,1,1.0,255,1,0,0.0,6,1,0,6,1
119,1,1.0,255,1,0,0.0,7,1,0,107,1
120,0,0.08,20,0,0,0.0,246,0,0,255,0
121,0,0.07,19,0,0,0.0,272,0,0,255,0
122,0,0.03,8,0,1,1.0,259,0,0,255,0
123,1,1.0,250,1,0,0.0,9,1,0,255,1
124,0,0.02,8,0,1,1.0,294,0,0,255,0
125,1,1.0,10,0,0,0.0,1,0,0,195,1
126,1,1.0,254,0,0,0.0,96,0,0,255,1
127,1,1.0,167,1,0,0.0,1,0,0,138,1
128,1,1.0,254,0,0,0.0,79,0,0,255,1
129,1,1.0,49,1,0,0.0,1,0,0,176,1
130,0,0.11,20,0,1,1.0,190,0,1,255,0
131,0,0.04,1,0,0,0.0,135,0,0,255,0
132,1,1.0,2,1,0,0.0,2,1,0,2,1
133,1,1.0,255,1,0,0.0,1,1,0,5,1
134,0,0.06,7,0,1,1.0,123,0,1,255,0
135,0,0.08,7,0,1,1.0,245,0,0,255,0
136,1,0.33,1,0,0,0.0,3,0,0,255,1
137,1,1.0,255,1,0,0.0,3,1,0,94,1
138,1,1.0,255,0,0,0.0,263,0,0,255,0
139,0,0.12,7,0,1,1.0,109,0,1,255,0
140,1,1.0,255,1,0,0.0,9,1,0,255,1
141,0,0.06,8,0,0,0.0,145,0,0,255,0
142,0,0.01,2,0,0,0.0,250,0,0,255,0
143,1,1.0,255,1,0,0.0,8,1,0,108,1
144,1,1.0,82,1,0,0.0,2,1,0,50,1
145,1,1.0,255,1,0,0.0,2,1,0,11,1
146,0,1.0,1,0,0,1.0,1,0,0,255,0
147,1,1.0,129,1,0,0.0,3,1,0,31,1
148,1,1.0,26,1,0,0.0,2,0,0,6,0
149,0,0.31,64,0,1,1.0,13,0,0,255,0
150,0,0.01,1,0,1,1.0,87,0,1,255,0
151,1,1.0,255,1,0,0.0,2,1,0,27,1
152,0,0.04,14,0,1,1.0,292,0,0,255,0
153,0,0.06,1,0,1,1.0,295,0,0,255,0
154,0,0.1,15,0,1,1.0,143,0,0,255,0
155,1,1.0,254,0,0,0.0,278,0,0,255,1
156,1,1.0,92,1,0,0.0,1,0,0,6,1
157,0,0.19,18,0,1,1.0,102,0,0,255,0
158,1,1.0,15,0,0,0.0,1,0,0,1,0
159,0,0.01,3,0,1,1.0,251,0,0,255,0
160,1,1.0,255,1,0,0.0,4,1,0,83,1
161,1,1.0,119,1,0,0.0,2,0,0,185,1
162,1,1.0,253,0,0,0.0,222,0,0,255,1
163,1,1.0,6,1,0,0.0,2,0,0,255,1
164,0,0.02,4,0,1,1.0,260,0,0,255,0
165,0,1.0,2,0,0,0.0,2,0,0,255,0
166,1,1.0,6,0,0,0.0,1,0,0,196,1
167,1,1.0,255,1,0,0.0,1,1,0,94,1
168,1,0.67,68,0,0,0.0,3,0,0,99,1
169,1,1.0,255,1,0,0.0,11,1,0,69,1
170,0,0.27,12,0,1,1.0,44,0,0,255,0
171,1,1.0,19,1,0,0.0,2,1,0,18,1
172,1,1.0,212,0,0,0.0,511,0,0,255,0
173,0,0.06,15,0,0,0.0,272,0,0,255,0
174,0,0.16,19,0,1,0.99,122,0,1,255,0
175,0,0.01,3,0,1,1.0,287,0,0,255,0
176,0,1.0,195,0,0,0.0,1,1,0,118,1
177,0,0.0,1,0,0,0.08,486,0,0,255,0
178,1,0.27,6,0,0,0.0,22,0,0,255,0
179,0,0.03,11,0,1,1.0,286,0,0,255,0
180,1,1.0,247,0,0,0.0,1,0,0,247,1
181,1,1.0,117,1,0,0.0,1,0,0,89,1
182,1,1.0,5,0,0,0.0,1,0,0,201,1
183,1,1.0,69,1,0,0.0,1,0,0,163,1
184,1,0.97,34,0,0,0.0,35,0,1,255,0
185,0,0.07,42,0,1,1.0,28,0,0,255,0
186,0,0.17,18,0,1,1.0,108,0,1,255,0
187,0,0.05,15,0,1,1.0,101,0,1,255,0
188,1,1.0,100,1,0,0.0,1,0,0,255,1
189,1,1.0,255,1,0,0.0,12,1,0,172,1
190,1,1.0,142,1,0,0.0,1,0,0,255,0
191,1,1.0,255,1,0,0.0,10,1,0,32,1
192,0,0.04,9,0,1,1.0,223,0,1,255,0
193,0,0.08,17,0,1,1.0,223,0,0,255,0
194,1,1.0,255,1,0,0.0,19,1,0,44,1
195,1,1.0,28,1,0,0.0,4,1,0,11,1
196,1,1.0,50,1,0,0.0,1,0,0,205,1
197,1,1.0,52,1,0,0.0,5,1,0,41,1
198,0,0.0,1,0,0,0.0,406,0,1,255,0
199,1,1.0,255,1,0,0.0,4,1,0,255,1
200,1,1.0,255,1,0,0.0,6,1,0,255,1
201,0,0.1,14,0,1,1.0,143,0,0,255,0
202,1,1.0,255,1,0,0.0,17,1,0,202,1
203,1,1.0,20,1,0,0.0,1,0,0,255,1
204,1,1.0,166,1,0,0.0,1,0,0,214,1
205,1,0.5,104,1,0,0.0,2,0,0,28,1
206,0,0.09,18,0,1,1.0,201,0,0,255,0
207,1,1.0,255,1,0,0.0,1,1,0,16,1
208,1,1.0,240,1,0,0.0,4,1,0,255,1
209,0,0.15,19,0,1,1.0,124,0,0,255,0
210,0,0.01,1,0,0,0.05,162,0,1,255,0
211,1,1.0,38,0,0,0.0,2,0,0,2,0
212,0,0.06,17,0,1,1.0,277,0,0,255,0
213,1,1.0,255,1,0,0.0,4,1,0,255,1
214,0,0.08,22,0,1,1.0,274,0,0,255,0
215,0,0.09,16,0,1,1.0,141,0,0,255,0
216,1,1.0,255,1,0,0.0,3,1,0,128,1
217,1,1.0,255,1,0,0.0,8,1,0,37,1
218,1,1.0,255,1,0,0.0,1,1,0,34,1
219,1,1.0,185,1,0,0.0,1,0,0,193,1
220,1,1.0,255,1,0,0.1,10,1,0,39,1
221,0,0.03,3,0,1,1.0,103,0,0,255,0
222,1,1.0,28,1,0,0.0,1,0,0,3,0
223,0,0.08,20,0,1,1.0,246,0,0,255,0
224,1,1.0,25,0,0,0.0,1,0,0,1,0
225,1,1.0,255,1,0,0.0,7,1,0,29,1
226,1,1.0,255,1,0,0.0,32,1,0,101,1
227,0,0.19,24,0,1,1.0,125,0,0,255,0
228,1,1.0,44,1,0,0.0,8,0,0,255,1
229,1,1.0,2,1,0,0.0,2,1,0,2,1
230,1,1.0,157,1,0,0.0,1,0,0,255,1
231,1,1.0,255,1,0,0.0,6,1,0,38,1
232,1,0.22,16,0,0,0.0,9,0,0,255,1
233,1,1.0,71,0,0,0.0,4,0,1,255,0
234,1,1.0,232,0,0,0.0,171,0,0,255,1
235,0,0.01,3,0,0,0.0,250,0,0,255,0
236,0,0.03,7,0,1,1.0,238,0,0,255,0
237,0,0.02,2,0,1,1.0,102,0,0,255,0
238,1,1.0,12,0,0,0.0,1,0,0,235,1
239,1,1.0,255,1,0,0.0,2,1,0,75,1
240,1,1.0,255,1,0,0.5,2,1,0,73,1
241,1,1.0,123,0,0,0.0,1,0,0,1,0
242,0,0.01,3,0,1,1.0,281,0,0,255,0
243,0,0.07,52,0,1,1.0,30,0,0,255,0
244,0,0.03,8,0,1,1.0,276,0,0,255,0
245,1,1.0,187,1,0,0.0,5,1,0,212,1
246,0,0.06,9,0,1,1.0,163,0,1,255,0
247,1,1.0,60,0,0,0.0,1,0,0,2,0
248,0,0.07,19,0,1,1.0,301,0,1,255,0
249,1,1.0,255,1,0,0.0,28,1,0,255,1
250,1,1.0,63,0,0,0.0,1,0,0,1,0
251,1,1.0,1,0,0,0.0,1,0,0,117,1
252,1,1.0,255,1,0,0.0,16,1,0,64,1
253,0,1.0,2,0,0,0.0,2,0,0,255,0
254,0,1.0,1,0,0,1.0,1,0,0,255,0
255,1,1.0,46,0,0,0.0,46,0,0,255,0
256,1,1.0,255,1,0,0.0,1,1,0,230,1
257,1,1.0,255,1,0,0.0,39,1,0,137,1
258,0,1.0,1,0,0,0.0,1,0,1,255,0
259,1,1.0,255,1,0,0.0,6,1,0,13,1
260,0,0.1,22,0,1,1.0,211,0,0,255,0
261,1,1.0,129,1,0,0.0,1,0,0,27,1
262,1,1.0,255,1,0,0.0,12,1,0,230,1
263,0,0.04,11,0,0,0.0,280,0,0,255,0
264,1,1.0,255,1,0,0.0,1,1,0,5,1
265,1,1.0,255,1,0,0.0,17,1,0,127,1
266,1,1.0,255,1,0,0.0,6,1,0,255,1
267,1,1.0,156,1,0,0.0,1,0,0,106,1
268,1,1.0,111,0,0,0.0,1,0,0,1,0
269,0,0.0,4,0,1,1.0,201,0,0,255,0
270,1,1.0,255,1,0,0.0,3,1,0,255,1
271,0,0.05,14,0,0,0.0,276,0,0,255,0
272,0,1.0,255,0,0,0.0,1,1,0,7,1
273,1,1.0,255,0,0,0.0,145,0,0,255,1
274,1,1.0,255,1,0,0.0,1,1,0,1,1
275,1,1.0,255,1,0,0.0,8,1,0,45,1
276,0,0.04,10,0,1,1.0,258,0,0,255,0
277,0,0.05,10,0,1,1.0,256,0,1,255,0
278,1,1.0,113,1,0,0.0,1,0,0,251,1
279,1,1.0,255,1,0,0.0,12,1,0,255,1
280,1,1.0,255,1,0,0.0,26,1,0,255,1
281,0,0.43,26,0,1,1.0,14,1,0,94,0
282,1,1.0,88,1,0,0.0,2,0,0,11,1
283,1,1.0,255,1,0,0.0,30,1,0,77,1
284,0,0.18,25,0,1,1.0,138,0,0,255,0
285,1,1.0,245,0,0,0.0,4,0,0,255,1
286,0,0.02,7,0,1,1.0,300,0,0,255,0
287,0,0.05,9,0,1,1.0,199,0,0,255,0
288,1,1.0,255,1,0,0.0,15,1,0,255,1
289,0,1.0,2,0,0,0.0,2,0,1,255,0
290,0,1.0,43,0,0,0.0,1,0,0,212,1
291,0,0.1,30,0,1,1.0,144,0,1,255,0
292,0,0.04,18,0,1,1.0,104,0,0,255,0
293,1,1.0,255,1,0,0.0,18,1,0,18,1
294,1,1.0,255,1,0,0.0,2,1,0,2,1
295,1,1.0,255,1,0,0.0,7,1,0,211,1
296,1,1.0,255,1,0,0.0,7,1,0,32,1
297,1,1.0,112,0,0,0.0,1,0,0,4,0
298,1,0.33,1,0,0,0.0,3,0,0,255,1
299,0,0.22,5,0,1,1.0,74,0,1,255,0
300,1,1.0,38,0,0,0.0,1,0,0,53,1
301,0,0.01,2,0,0,0.0,225,0,0,255,0
302,0,0.24,52,0,1,0.97,66,0,0,255,0
303,1,1.0,42,1,0,0.0,1,0,0,7,0
304,1,1.0,255,1,0,0.0,7,1,0,255,1
305,1,1.0,61,0,0,0.0,1,0,0,1,0
306,0,1.0,101,0,1,0.5,2,0,0,160,1
307,1,1.0,255,1,0,0.0,4,1,0,54,1
308,0,1.0,1,0,0,0.0,1,0,0,255,0
309,1,1.0,81,1,0,0.0,1,0,0,255,1
310,0,0.09,13,0,1,1.0,139,0,0,255,0
311,1,1.0,255,1,0,0.04,28,1,0,255,1
312,0,0.11,9,0,0,0.0,144,0,0,255,0
313,0,0.08,19,0,1,1.0,241,0,0,255,0
314,1,1.0,255,1,0,0.0,15,1,0,107,1
315,1,1.0,255,0,0,0.0,213,0,0,255,0
316,1,1.0,11,0,0,0.0,1,0,0,1,0
317,0,0.03,1,0,0,0.17,36,0,1,255,0
318,1,0.67,239,0,0,0.0,3,0,1,255,1
319,0,0.07,17,0,1,1.0,254,0,1,255,0
320,1,1.0,154,1,0,0.0,1,0,0,202,1
321,0,0.02,7,0,1,1.0,295,0,0,255,0
322,0,0.02,14,0,1,1.0,171,0,1,255,0
323,0,0.01,5,0,1,1.0,179,0,0,255,0
324,1,0.5,11,1,0,0.0,2,0,0,255,1
325,0,0.07,3,0,1,1.0,101,0,0,255,0
326,1,1.0,255,1,0,0.0,9,1,0,255,1
327,1,1.0,255,1,0,0.0,22,1,0,255,1
328,1,1.0,255,1,0,0.0,1,1,0,255,1
329,1,1.0,36,0,0,0.0,8,0,0,255,1
330,0,0.5,1,0,0,0.0,2,0,1,255,0
331,0,1.0,1,0,0,0.0,1,0,1,255,0
332,1,1.0,234,0,0,0.0,195,0,0,255,1
333,1,1.0,255,1,0,0.0,4,1,0,255,1
334,0,0.03,7,0,1,1.0,260,0,1,255,0
335,1,1.0,255,1,0,0.0,14,1,0,142,1
336,1,1.0,164,1,0,0.0,1,0,0,128,1
337,1,1.0,255,1,0,0.0,10,1,0,69,1
338,0,0.1,8,0,1,1.0,125,0,0,255,0
339,0,0.07,6,0,0,0.0,139,0,1,255,0
340,1,1.0,255,1,0,0.0,10,1,0,66,1
341,0,0.03,2,0,1,1.0,251,0,1,255,0
342,1,1.0,23,0,0,0.0,1,0,0,42,1
343,1,1.0,255,1,0,0.0,5,1,0,14,1
344,0,0.08,12,0,1,1.0,211,0,0,255,0
345,1,0.4,16,0,0,0.0,20,0,0,255,1
346,0,0.01,5,0,1,1.0,208,0,1,255,0
347,0,1.0,38,0,0,0.0,1,1,0,8,1
348,0,0.07,19,0,1,1.0,268,0,0,255,0
349,0,1.0,2,0,0,0.0,1,0,1,37,0
350,0,0.5,1,0,0,0.0,2,0,1,255,0
351,1,1.0,255,1,0,0.0,1,1,0,57,1
352,0,0.01,3,0,1,1.0,286,0,0,255,0
353,1,1.0,255,1,0,0.0,7,1,0,159,1
354,0,0.0,1,0,0,0.08,425,0,0,255,0
355,1,1.0,255,1,0,0.0,8,1,0,255,1
356,0,0.05,13,0,1,1.0,272,1,0,255,0
357,1,1.0,255,1,0,0.0,4,1,0,58,1
358,0,0.01,3,0,0,0.0,241,0,0,255,0
359,1,1.0,2,0,0,0.0,2,0,0,6,1
360,1,1.0,64,1,0,0.0,1,0,0,246,1
361,1,1.0,255,1,0,0.0,18,1,0,62,1
362,0,0.15,18,0,1,1.0,125,0,0,255,0
363,0,1.0,255,0,0,0.0,1,1,0,12,1
364,1,1.0,255,1,0,0.0,6,1,0,106,1
365,1,1.0,255,0,0,0.0,1,0,0,2,0
366,1,1.0,251,1,0,0.0,1,1,0,251,0
367,1,1.0,255,1,0,0.0,3,1,0,59,1
368,0,0.24,62,0,1,1.0,42,0,0,124,0
369,0,0.04,10,0,1,1.0,274,0,1,255,0
370,1,1.0,255,1,0,0.0,3,1,0,250,1
371,1,1.0,255,1,0,0.0,7,1,0,28,1
372,1,1.0,255,1,0,0.0,1,1,0,49,1
373,0,0.06,12,0,1,1.0,196,0,0,255,0
374,1,1.0,255,1,0,0.0,5,1,0,187,1
375,0,0.05,6,0,1,1.0,111,0,0,255,0
376,1,1.0,247,0,0,0.0,1,0,0,247,1
377,1,1.0,255,1,0,0.0,1,1,0,1,1
378,1,1.0,171,0,0,0.0,2,0,0,67,1
379,0,0.02,3,0,1,1.0,168,0,1,255,0
380,1,1.0,255,0,0,0.0,122,0,0,255,1
381,0,0.07,8,0,1,1.0,108,0,0,255,0
382,0,1.0,55,0,0,0.0,1,1,0,6,1
383,0,0.33,12,0,1,1.0,36,0,1,255,0
384,0,0.13,4,0,1,1.0,143,0,1,255,0
385,1,1.0,255,1,0,0.0,1,1,0,12,1
386,0,0.06,8,0,1,1.0,132,0,0,255,0
387,1,1.0,166,0,0,0.0,139,0,0,255,1
388,1,1.0,255,1,0,0.0,7,1,0,255,1
389,1,1.0,104,1,0,0.0,1,0,0,126,1
390,1,1.0,255,1,0,0.0,8,1,0,36,1
391,1,0.33,1,0,0,0.0,3,0,0,255,1
392,0,0.0,1,0,1,1.0,222,0,0,255,0
393,0,0.03,8,0,1,1.0,260,0,1,120,0
394,0,0.06,1,0,1,1.0,237,0,1,255,0
395,0,0.11,16,0,1,1.0,132,0,1,255,0
396,0,1.0,2,0,0,0.0,2,0,1,255,0
397,0,0.19,11,0,1,1.0,57,0,1,255,0
398,1,1.0,200,0,0,0.0,1,0,0,4,0
399,1,1.0,25,0,0,0.0,1,0,0,25,1
400,1,1.0,255,1,0,0.0,13,1,0,255,1
401,0,0.07,19,0,1,1.0,257,0,0,255,0
402,1,1.0,24,0,0,0.0,1,0,0,76,1
403,1,1.0,242,0,0,0.0,77,0,0,255,1
404,1,1.0,41,0,0,0.0,1,0,0,1,0
405,1,1.0,7,1,0,0.0,1,0,0,51,1
406,1,1.0,255,1,0,0.0,2,1,0,23,1
407,1,1.0,255,0,0,0.0,11,0,0,255,1
408,0,0.07,2,0,1,1.0,257,0,1,255,0
409,0,1.0,75,0,1,1.0,13,0,0,135,0
410,1,1.0,255,1,0,0.0,9,1,0,123,1
411,0,0.07,4,0,0,0.0,137,0,0,255,0
412,1,1.0,255,1,0,0.0,28,1,0,255,1
413,1,1.0,255,1,0,0.0,12,1,0,25,1
414,0,0.02,14,0,1,1.0,132,0,0,255,0
415,1,0.14,226,0,0,0.0,7,0,1,255,1
416,0,1.0,255,0,0,0.0,1,1,0,12,1
417,0,0.06,11,0,1,1.0,290,0,0,255,0
418,0,0.01,9,0,1,1.0,203,0,1,255,0
419,0,0.03,9,0,1,1.0,290,0,1,255,0
420,1,1.0,255,1,0,0.0,14,1,0,14,1
421,0,0.03,3,0,0,0.0,116,0,0,255,0
422,0,0.02,5,0,1,1.0,260,0,1,255,0
423,1,0.08,24,0,0,0.0,12,0,1,255,0
424,1,1.0,21,0,0,0.0,21,0,1,255,0
425,1,1.0,255,1,0,0.0,2,1,0,255,1
426,1,1.0,255,0,0,0.0,486,0,0,255,0
427,1,1.0,115,1,0,0.0,2,0,0,255,1
428,1,1.0,1,1,0,0.0,1,0,0,84,1
429,0,1.0,2,0,0,0.0,1,0,1,27,0
430,1,1.0,142,1,0,0.0,1,0,0,255,1
431,1,1.0,153,0,0,0.0,457,0,0,153,0
432,0,0.09,64,0,1,1.0,47,0,0,255,0
433,1,1.0,255,1,0,0.0,10,1,0,121,1
434,1,1.0,255,0,0,0.0,71,0,0,255,1
435,1,1.0,255,1,0,0.0,12,1,0,12,1
436,1,1.0,255,1,0,0.0,6,1,0,52,1
437,1,1.0,39,0,0,0.0,6,0,0,219,1
438,1,1.0,255,1,0,0.0,5,1,0,170,1
439,1,1.0,255,1,0,0.0,7,1,0,255,1
440,0,0.07,10,0,0,0.0,139,0,0,255,0
441,1,1.0,255,1,0,0.0,1,1,0,24,1
442,0,0.03,6,0,1,1.0,200,0,0,255,0
443,0,0.01,1,0,1,1.0,140,0,0,255,0
444,1,1.0,132,1,0,0.0,1,0,0,173,1
445,1,1.0,255,1,0,0.0,9,1,0,9,1
446,1,1.0,200,0,0,0.0,511,0,0,255,0
447,1,1.0,68,0,0,0.0,68,0,1,255,0
448,0,0.05,7,0,1,1.0,132,0,1,255,0
449,1,1.0,255,1,0,0.0,9,1,0,255,1
450,1,1.0,250,0,0,0.0,215,0,0,255,1
451,1,1.0,217,0,0,0.0,1,0,1,229,1
452,0,0.16,18,0,1,1.0,115,0,1,255,0
453,0,0.46,16,0,1,1.0,35,0,1,255,0
454,0,0.05,15,0,1,1.0,275,0,0,255,0
455,1,1.0,239,1,0,0.0,4,1,0,255,1
456,0,0.17,13,0,0,0.0,76,0,1,255,0
457,1,1.0,255,1,0,0.0,12,1,0,95,1
458,0,0.01,8,0,1,1.0,202,0,0,255,0
459,0,0.06,13,0,1,1.0,252,0,1,255,0
460,1,1.0,3,0,0,0.0,1,0,0,255,1
461,1,1.0,255,1,0,0.0,3,1,0,7,1
462,0,0.23,58,0,1,1.0,74,0,0,255,0
463,1,1.0,255,1,0,0.0,1,1,0,68,1
464,1,1.0,255,1,0,0.0,4,1,0,251,1
465,0,0.16,15,0,1,1.0,116,0,1,255,0
466,1,1.0,79,1,0,0.0,2,1,0,79,0
467,0,0.01,2,0,1,1.0,197,0,0,255,0
468,1,1.0,254,0,0,0.0,80,0,0,255,1
469,1,1.0,169,1,0,0.0,1,0,0,76,1
470,0,0.02,4,0,1,1.0,198,0,1,255,0
471,1,1.0,37,0,0,0.0,4,0,0,255,1
472,0,0.03,1,0,0,0.0,102,0,1,255,0
473,1,1.0,255,1,0,0.0,1,1,0,9,1
474,0,0.09,21,0,1,1.0,223,0,0,255,0
475,1,1.0,70,1,0,0.0,1,0,0,50,1
476,1,1.0,34,1,0,0.0,1,1,0,31,1
477,0,0.04,6,0,1,1.0,138,0,0,255,0
478,1,1.0,35,0,0,0.0,1,0,0,1,0
479,1,1.0,255,1,0,0.0,5,1,0,5,1
480,0,0.01,1,0,0,0.0,154,0,1,255,0
481,0,0.09,18,0,1,1.0,204,0,0,255,0
482,0,0.02,4,0,1,1.0,262,0,0,255,0
483,1,1.0,255,1,0,0.0,8,1,0,255,1
484,0,0.08,2,0,0,0.0,25,0,1,195,0
485,1,1.0,255,1,0,0.0,3,1,0,55,1
486,1,1.0,255,1,0,0.0,21,1,0,21,1
487,0,0.01,4,0,0,0.07,459,0,0,255,0
488,0,0.0,1,0,1,1.0,253,0,0,255,0
489,1,1.0,224,0,0,0.0,1,0,0,255,1
490,0,0.11,8,0,1,1.0,142,0,1,255,0
491,1,1.0,253,0,0,0.0,1,0,0,255,1
492,1,1.0,143,0,0,0.0,1,0,1,155,1
493,1,0.08,3,0,0,0.0,12,0,0,255,1
494,1,1.0,72,1,0,0.0,5,1,0,72,1
